leasecarId,make,model,colorName,colorCode,colorPrice,primaryRgbCode
377208,Leapmotor,T03,Caribbean Blue,0XD,0.0,#99b9ce
377208,Leapmotor,T03,Canopy Grey,0GM,0.0,#5c5c5b
377208,Leapmotor,T03,Light White,0AG,0.0,#f7f7f7
377203,Peugeot,208,Blanc Okenite metaallak,M0SU,0.0,#efefef
377203,Peugeot,208,Gris Artense metaallak,M0F4,0.0,#8f8f95
377203,Peugeot,208,Noir Perla Nera metaallak,M09V,0.0,#252424
377204,Peugeot,208,Gris Artense metaallak,M0F4,0.0,#8f8f95
377204,Peugeot,208,Noir Perla Nera metaallak,M09V,0.0,#252424
377204,Peugeot,208,Blanc Okenite metaallak,M0SU,0.0,#efefef
377204,Peugeot,208,Gris Selenium metaallak,M0LD,0.0,#bbbfc4
377196,Opel,Corsa,Crystal Silver metaallak,M0ZR,0.0,#e1dfdf
377196,Opel,Corsa,Carbon Black metaallak,M09V,0.0,#252424
377196,Opel,Corsa,Grafik Grey pastellak,P0SD,0.0,#8f969f
377197,Opel,Corsa,Crystal Silver metaallak,M0ZR,0.0,#e1dfdf
377197,Opel,Corsa,Carbon Black metaallak,M09V,0.0,#252424
377197,Opel,Corsa,Grafik Grey pastellak,P0SD,0.0,#8f969f
377190,Citroen,ë-C3,Perla Nera Black metallic,M09V,0.0,#252424
377192,Fiat,500e,Nero Onice pastellak,601,0.0,#252424
377191,Citroen,ë-C3 Aircross,Perla Nera Black mono tone,M09V,0.0,#252424
377201,Peugeot,2008,Blanc Okenite metaallak,M0SU,0.0,#efefef
377201,Peugeot,2008,Noir Perla Nera metaallak,M09V,11.0,#252424
377201,Peugeot,2008,Gris Artense metaallak,M0F4,11.0,#8f8f95
377201,Peugeot,2008,Bleu Obsession,M0DP,11.0,#3b7598
377202,Peugeot,2008,Gris Artense metaallak,M0F4,11.0,#8f8f95
377202,Peugeot,2008,Gris Selenium metaallak,M0LD,11.0,#bbbfc4
377202,Peugeot,2008,Blanc Okenite metaallak,M0SU,0.0,#efefef
377202,Peugeot,2008,Noir Perla Nera metaallak,M09V,11.0,#252424
377202,Peugeot,2008,Bleu Obsession,M0DP,11.0,#3b7598
377189,Citroen,C3 Aircross,Mercury Grey,M0SX,0.0,#82878f
377189,Citroen,C3 Aircross,Montana Green & Two Tone Polar White,M0WD,0.0,#435443
377198,Opel,Frontera,Khaki Green metallic,M0GQ,0.0,#49776d
377198,Opel,Frontera,Kristall Sylver metallic,M0ZR,0.0,#e1dfdf
377198,Opel,Frontera,Karbon Black metallic,M09V,0.0,#252424
377198,Opel,Frontera,Arktis White basislak,P0WP,0.0,#dfe0e0
377193,Fiat,Grande Panda,Acqua Azure metaallak,368,0.0,#7b968f
377193,Fiat,Grande Panda,Lago Blue metaallak,411,0.0,#63819b
377193,Fiat,Grande Panda,Cinema Black metaallak,533,0.0,#252424
377194,Jeep,Avenger,Volcano Black,601,0.0,#252424
377188,Alfa Romeo,Junior,Tortona Black pastel,601,0.0,#252424
377188,Alfa Romeo,Junior,Arese Silver metallic,519,10.0,#878380
377206,Peugeot,e-208,Gris Selenium metaallak,M0LD,0.0,#bbbfc4
377206,Peugeot,e-208,Noir Perla Nera metaallak,M09V,0.0,#252424
377206,Peugeot,e-208,Gris Artense metaallak,M0F4,0.0,#8f8f95
377207,Peugeot,3008,Noir Perla Nera metaallak,M09V,0.0,#252424
J055LK,Citroen,C1,Lipizan White uni,P0P8,0.0,#efefef
N987XG,Kia,Picanto,Clear White (S),UD,0.0,#dfe0e0
L593GH,Toyota,Aygo,Cool White (Solid),068,0.0,#dfe0e0
376664,Hyundai,i10,Aurora Grey Mica,A7G,0.0,#8f969f
376664,Hyundai,i10,Mangrove Green Mica,MG2,0.0,#b0bec0
376664,Hyundai,i10,Meta Blue Mica,PM2,0.0,#7a829e
376664,Hyundai,i10,Lumen Gray Mica,Y3H,0.0,#c0bdb7
376664,Hyundai,i10,Vibrant Blue Mica,UC3,0.0,#6782a1
376664,Hyundai,i10,Dragon Red Mica,WR7,0.0,#881e25
376664,Hyundai,i10,Phantom Black Mica,X5B,0.0,#252424
375953,Kia,Picanto,Aurora black Pearl,ABP,9.0,#252424
375953,Kia,Picanto,Clear White (S),UD,0.0,#dfe0e0
N079FL,Hyundai,i10,Polar White standaard lak,PSW,0.0,#efefef
K201KF,Renault,Twingo,Metaallak Noir Etoile,QPA$GNE,0.0,#000000
J236TT,Peugeot,108,Gris Carlinite metaallak,M09A,0.0,#535555
