leasecarId,make,model,duration,mileage,pricePerMonth
377208,Leapmotor,T03,24,5000,359.0
377208,Leapmotor,T03,36,5000,319.0
377208,Leapmotor,T03,48,5000,279.0
377208,Leapmotor,T03,60,5000,259.0
377208,Leapmotor,T03,72,5000,239.0
377208,Leapmotor,T03,24,7500,369.0
377208,Leapmotor,T03,36,7500,329.0
377208,Leapmotor,T03,48,7500,289.0
377208,Leapmotor,T03,60,7500,269.0
377208,Leapmotor,T03,72,7500,249.0
377208,Leapmotor,T03,24,10000,379.0
377208,Leapmotor,T03,36,10000,339.0
377208,Leapmotor,T03,48,10000,299.0
377208,Leapmotor,T03,60,10000,279.0
377208,Leapmotor,T03,72,10000,259.0
377208,Leapmotor,T03,24,12500,392.0
377208,Leapmotor,T03,36,12500,352.0
377208,Leapmotor,T03,48,12500,312.0
377208,Leapmotor,T03,60,12500,292.0
377208,Leapmotor,T03,72,12500,272.0
377208,Leapmotor,T03,24,15000,405.0
377208,Leapmotor,T03,36,15000,365.0
377208,Leapmotor,T03,48,15000,325.0
377208,Leapmotor,T03,60,15000,305.0
377208,Leapmotor,T03,72,15000,285.0
377208,Leapmotor,T03,24,17500,418.0
377208,Leapmotor,T03,36,17500,378.0
377208,Leapmotor,T03,48,17500,338.0
377208,Leapmotor,T03,60,17500,318.0
377208,Leapmotor,T03,72,17500,298.0
377208,Leapmotor,T03,24,20000,431.0
377208,Leapmotor,T03,36,20000,391.0
377208,Leapmotor,T03,48,20000,351.0
377208,Leapmotor,T03,60,20000,331.0
377208,Leapmotor,T03,72,20000,311.0
377208,Leapmotor,T03,24,25000,457.0
377208,Leapmotor,T03,36,25000,417.0
377208,Leapmotor,T03,48,25000,377.0
377208,Leapmotor,T03,60,25000,357.0
377208,Leapmotor,T03,72,25000,337.0
377208,Leapmotor,T03,24,30000,483.0
377208,Leapmotor,T03,36,30000,443.0
377208,Leapmotor,T03,48,30000,403.0
377208,Leapmotor,T03,60,30000,383.0
377208,Leapmotor,T03,72,30000,363.0
377203,Peugeot,208,24,5000,499.0
377203,Peugeot,208,36,5000,419.0
377203,Peugeot,208,48,5000,379.0
377203,Peugeot,208,60,5000,359.0
377203,Peugeot,208,72,5000,339.0
377203,Peugeot,208,24,7500,514.0
377203,Peugeot,208,36,7500,434.0
377203,Peugeot,208,48,7500,394.0
377203,Peugeot,208,60,7500,374.0
377203,Peugeot,208,72,7500,354.0
377203,Peugeot,208,24,10000,529.0
377203,Peugeot,208,36,10000,449.0
377203,Peugeot,208,48,10000,409.0
377203,Peugeot,208,60,10000,389.0
377203,Peugeot,208,72,10000,369.0
377203,Peugeot,208,24,12500,549.0
377203,Peugeot,208,36,12500,469.0
377203,Peugeot,208,48,12500,429.0
377203,Peugeot,208,60,12500,409.0
377203,Peugeot,208,72,12500,389.0
377203,Peugeot,208,24,15000,569.0
377203,Peugeot,208,36,15000,489.0
377203,Peugeot,208,48,15000,449.0
377203,Peugeot,208,60,15000,429.0
377203,Peugeot,208,72,15000,409.0
377203,Peugeot,208,24,17500,589.0
377203,Peugeot,208,36,17500,509.0
377203,Peugeot,208,48,17500,469.0
377203,Peugeot,208,60,17500,449.0
377203,Peugeot,208,72,17500,429.0
377203,Peugeot,208,24,20000,609.0
377203,Peugeot,208,36,20000,529.0
377203,Peugeot,208,48,20000,489.0
377203,Peugeot,208,60,20000,469.0
377203,Peugeot,208,72,20000,449.0
377203,Peugeot,208,24,25000,649.0
377203,Peugeot,208,36,25000,569.0
377203,Peugeot,208,48,25000,529.0
377203,Peugeot,208,60,25000,509.0
377203,Peugeot,208,72,25000,489.0
